,source,target,year,weight
0,citigroup global markets hong kong futures and securities limited,nomura international (hong kong) limited,2011,1
1,nomura securities (hong kong) limited,deutsche securities asia limited,2003,1
2,orion investment management limited,marex hong kong limited,2012,1
3,rbs asia securities (hong kong) limited,morgan stanley hong kong securities limited,2006,1
4,morgan stanley hong kong securities limited,credit suisse (hong kong) limited,2010,1
5,houlihan lokey (china) limited,zerobridge partners advisory limited,2019,1
6,ubs securities asia limited,morgan stanley asia limited,2010,1
7,morgan stanley hong kong securities limited,goldman sachs (asia) l.l.c.,2013,1
8,balyasny asset management (hong kong) limited,citadel asia limited,2006,1
9,citadel asia limited,torq capital management (hk) limited,2016,1
10,magpie securities limited (hk),china everbright research limited,2019,1
11,citigroup global markets asia limited,j.p. morgan securities (far east) limited,2018,1
12,polygon investment partners hk limited,petiole management (hong kong) limited,2015,1
13,petiole management (hong kong) limited,black's link capital limited,2010,1
14,black's link capital limited,petiole management (hong kong) limited,2018,1
15,standard chartered securities (hong kong) limited,hsbc securities brokers (asia) limited,2007,1
16,sculptor capital management hong kong limited (b2001-12-28),venture smart asia limited,2018,1
17,daiwa capital markets hong kong limited,vantage capital markets hk limited,2020,1
18,vantage capital markets hk limited,credit agricole securities (asia) limited,2005,1
19,nomura international (hong kong) limited,goldman sachs futures (asia) limited,2004,1
20,jpmorgan asset management real assets (asia) limited,eastspring investments (hong kong) limited,2014,1
21,hsbc investment funds (hong kong) limited,blackrock (hong kong) limited (d2017-01-20),2008,1
22,blackrock (hong kong) limited (d2017-01-20),eastspring investments (hong kong) limited,2006,1
23,eastspring investments (hong kong) limited,bear stearns asia limited,2004,1
24,ubs securities asia limited,apg investments asia limited,2012,1
25,barclays capital asia limited,citigroup global markets asia limited,2005,1
26,glg partners hong kong limited,jefferies hong kong limited,2012,1
27,jefferies hong kong limited,credit suisse (hong kong) limited,2010,1
28,asiya investments hong kong limited,blackrock asset management north asia limited,2017,1
29,y2 capital partners limited,trikon asset management limited,2018,1
30,trikon asset management limited,morgan stanley hong kong futures limited,2007,1
31,morgan stanley hong kong futures limited,merrill lynch far east limited,2005,1
32,oasis management (hong kong),factorial management limited,2011,1
33,factorial management limited,oasis management (hong kong),2009,1
34,rbs asia corporate finance limited,cgs-cimb securities (hong kong) limited,2012,1
35,cgs-cimb securities (hong kong) limited,rbs asia corporate finance limited,2004,1
36,goldman sachs (asia) securities limited,point72 hong kong limited,2021,1
37,mercer investments (hk) limited,blackrock (hong kong) limited (d2017-01-20),2011,1
38,credit suisse (hong kong) limited,merrill lynch (asia pacific) limited,2006,1
39,blackrock asset management north asia limited,allianz global investors asia pacific limited (sfc:aoa171),2011,1
40,optimas capital limited,azentus capital management limited,2011,1
41,azentus capital management limited,goldman sachs (asia) l.l.c.,nan,1
42,credit agricole securities (asia) limited,hsbc securities brokers (asia) limited,2013,1
43,macquarie capital limited,ubs securities asia limited,2015,1
44,credit suisse (hong kong) limited,j.p. morgan securities (far east) limited,2014,1
45,j.p. morgan broking (hong kong) limited,goldman sachs (asia) l.l.c.,2015,1
46,da international asset management limited,"hgnh international futures co., limited",2007,1
47,"hgnh international futures co., limited",da international financial service limited,2012,1
48,csi global markets limited,huatai financial holdings (hong kong) limited,2022,1
49,huatai financial holdings (hong kong) limited,citic securities futures (hk) limited,2016,1
50,kgi asset management limited,asset management group limited,2008,1
51,asset management group limited,japan cosmo securities (hong kong) limited (d2009-07-28),2007,1
